,policy_id,policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density
42,ID00043,0.844741730711956,0.04,0.394230769230769,C3,4076.0
43,ID00044,0.13237728407142,0.07,0.490384615384615,C8,8794.0
44,ID00045,1.05575450868662,0.1,0.923076923076923,C8,8794.0
45,ID00046,0.715804194255152,0.02,0.403846153846154,C3,4076.0
46,ID00047,1.21634224769392,0.15,0.692307692307692,C8,8794.0
47,ID00048,0.082137238996718,0.03,0.326923076923077,C3,4076.0
48,ID00049,1.23539874915142,0.11,0.471153846153846,C8,8794.0
49,ID00050,0.345261468882967,,,C5,34738.0
50,ID00051,0.91642126940341,0.0,0.326923076923077,C2,27003.0
51,ID00052,1.0885054679032,0.01,0.413461538461538,C2,27003.0
52,ID00053,1.07552325511587,0.17,0.682692307692308,C13,5410.0
53,ID00054,1.08454512638103,0.06,0.365384615384615,C12,34791.0
54,ID00055,0.167815014497839,0.0,0.480769230769231,C5,34738.0
55,ID00056,0.330100559343393,0.1,0.355769230769231,C14,7788.0
56,ID00057,0.943037692780565,0.12,0.403846153846154,C14,7788.0
57,ID00058,0.011489454864972,0.0,0.480769230769231,C4,21622.0
58,ID00059,0.541464631037878,0.04,0.644230769230769,C5,34738.0
59,ID00060,1.21686328225811,0.04,0.509615384615385,C11,6108.0
60,ID00061,1.06919321796983,0.1,0.394230769230769,C9,17804.0
61,ID00062,1.18597246654933,0.05,0.538461538461538,C2,27003.0
62,ID00063,1.19892355688502,0.12,0.461538461538462,C9,17804.0
63,ID00064,0.090390126813579,0.0,0.673076923076923,C7,6112.0
64,ID00065,0.245361840897967,0.04,0.326923076923077,C15,290.0
65,ID00066,0.411289303270382,0.08,0.298076923076923,C16,16206.0
66,ID00067,1.10816786269198,0.06,0.346153846153846,C2,27003.0
67,ID00068,1.01976953010629,0.17,0.375,C8,8794.0
68,ID00069,1.17662133515706,0.04,0.548076923076923,C13,5410.0
69,ID00070,0.976632691699104,0.04,0.394230769230769,C14,7788.0
70,ID00071,0.475114197460173,0.08,0.548076923076923,C2,27003.0
71,ID00072,0.282169395811438,0.04,0.615384615384615,C10,73430.0
72,ID00073,0.639802758621483,0.01,0.538461538461538,C16,16206.0
73,ID00074,0.190606965990237,0.06,0.346153846153846,C13,5410.0
74,ID00075,1.19471042243915,0.06,0.288461538461538,C6,13051.0
75,ID00076,0.6495880741755,0.02,0.509615384615385,C12,34791.0
76,ID00077,0.252136265686904,0.08,0.326923076923077,C8,8794.0
77,ID00078,0.539544610230156,0.13,0.384615384615385,C10,73430.0
78,ID00079,1.04332599411681,0.13,0.557692307692308,C11,6108.0
79,ID00080,0.168965055409704,0.0,0.365384615384615,C8,8794.0
80,ID00081,0.977908447836331,0.06,0.759615384615385,C2,27003.0
81,ID00082,0.568471861873235,0.06,0.538461538461538,C9,17804.0
82,ID00083,1.21304417155134,0.13,0.403846153846154,C10,73430.0
83,ID00084,0.462069956265957,0.01,0.442307692307692,C8,8794.0
84,ID00085,1.16392472006908,0.06,0.288461538461538,C9,17804.0
85,ID00086,0.17950147533084,0.02,0.442307692307692,C2,27003.0
86,ID00087,0.046563507875534,0.01,0.288461538461538,C2,27003.0
87,ID00088,0.807114160506035,0.18,0.326923076923077,C13,5410.0
88,ID00089,0.094857459462781,0.1,0.365384615384615,C7,6112.0
89,ID00090,0.321030834236587,0.02,0.673076923076923,C2,27003.0
90,ID00091,0.084936103786013,0.08,0.384615384615385,C5,34738.0
91,ID00092,1.06568068693845,0.08,0.384615384615385,C14,7788.0
92,ID00093,0.215212969422501,0.02,0.509615384615385,C15,290.0
93,ID00094,0.037337826510374,0.07,0.423076923076923,C2,27003.0
94,ID00095,0.902637987887232,0.14,0.432692307692308,C12,34791.0
95,ID00096,0.08037214024159,0.0,0.336538461538461,C2,27003.0
96,ID00097,0.092874413639548,0.03,0.336538461538461,C8,8794.0
97,ID00098,0.096181616484013,0.04,0.451923076923077,C5,34738.0
98,ID00099,0.892753416559847,0.01,0.326923076923077,C7,6112.0
99,ID00100,1.1173952132896,0.02,0.432692307692308,C4,21622.0
100,ID00101,1.13651959973421,0.14,0.480769230769231,C14,7788.0
101,ID00102,1.05479603757852,0.14,0.451923076923077,C8,8794.0
102,ID00103,1.19719187321192,0.06,0.673076923076923,C8,8794.0
103,ID00104,0.776574084752065,0.14,0.596153846153846,C14,7788.0
104,ID00105,0.543271734064491,0.01,0.288461538461538,C8,8794.0
105,ID00106,0.166865668243322,0.15,0.375,C5,34738.0
106,ID00107,0.702487681037114,0.0,0.403846153846154,C10,73430.0
107,ID00108,0.354055571753621,0.04,0.384615384615385,C5,34738.0
108,ID00109,0.265161013606846,0.14,0.451923076923077,C9,17804.0
109,ID00110,1.07827521215197,0.02,0.740384615384615,C11,6108.0
110,ID00111,1.04333865537247,0.08,0.355769230769231,C8,8794.0
111,ID00112,0.279102441884554,0.04,0.557692307692308,C5,34738.0
112,ID00113,0.407690965478288,0.11,0.509615384615385,C5,34738.0
113,ID00114,0.366055078272995,0.05,0.317307692307692,C6,13051.0
114,ID00115,0.900941034615584,0.05,0.384615384615385,C8,8794.0
115,ID00116,1.14308388088255,0.13,0.326923076923077,C10,73430.0
116,ID00117,1.0000236179217,0.16,0.663461538461538,C17,65567.0
117,ID00118,1.20279182185209,0.0,0.346153846153846,C8,8794.0
118,ID00119,1.02604567425151,0.15,0.471153846153846,C5,34738.0
119,ID00120,0.474598055823212,0.12,0.557692307692308,C14,7788.0
120,ID00121,1.09204999077671,0.02,0.403846153846154,C5,34738.0
121,ID00122,1.22701629389936,0.06,0.596153846153846,C2,27003.0
122,ID00123,0.382363292329306,0.02,0.625,C14,7788.0
123,ID00124,0.479102791617729,0.03,0.442307692307692,C8,8794.0
124,ID00125,1.07361238518927,0.2,0.442307692307692,C2,27003.0
125,ID00126,0.064651598921744,0.0,,,
126,ID00127,0.096461962185437,0.17,,,
127,ID00128,0.094342694573791,0.09,0.538461538461538,C10,73430.0
128,ID00129,0.131791204287648,0.1,0.298076923076923,C1,4990.0
129,ID00130,0.544042071591545,0.02,0.461538461538462,C5,34738.0
130,ID00131,0.888914474289865,0.01,0.528846153846154,C1,4990.0
131,ID00132,0.785907896302702,0.12,0.432692307692308,C2,27003.0
132,ID00133,0.370910628402664,0.09,0.480769230769231,C10,73430.0
133,ID00134,1.06880337577035,0.02,0.692307692307692,C6,13051.0
134,ID00135,0.125743781253196,0.11,0.625,C11,6108.0
135,ID00136,0.490727526633488,0.0,0.471153846153846,C18,35036.0
136,ID00137,0.595210892856407,0.13,0.394230769230769,C13,5410.0
137,ID00138,0.848697908215935,0.1,0.451923076923077,C8,8794.0
138,ID00139,1.06393064708326,0.01,0.317307692307692,C9,17804.0
139,ID00140,1.24603621089721,0.04,0.576923076923077,C2,27003.0
140,ID00141,1.23021632186172,0.03,0.480769230769231,C17,65567.0
141,ID00142,0.91658494796105,0.04,0.528846153846154,C3,4076.0
142,ID00143,0.075911477503016,0.13,0.298076923076923,C8,8794.0
143,ID00144,1.03336876771366,0.04,0.519230769230769,C5,34738.0
144,ID00145,1.05441736140728,0.1,0.461538461538462,C7,6112.0
145,ID00146,0.859521151743927,0.03,0.528846153846154,C2,27003.0
146,ID00147,1.24752879697301,0.13,0.663461538461538,C9,17804.0
147,ID00148,0.869265860433569,0.01,0.336538461538461,C3,4076.0
148,ID00149,0.02216443307297,0.0,0.740384615384615,C5,34738.0
149,ID00150,0.005923207794019,0.01,0.423076923076923,C5,34738.0
150,ID00151,0.671115976557958,0.1,0.451923076923077,C7,6112.0
151,ID00152,0.611863020928319,0.07,0.586538461538462,C8,8794.0
152,ID00153,1.23796081836018,0.12,0.442307692307692,C2,27003.0
153,ID00154,0.883116874889979,0.01,0.596153846153846,C5,34738.0
154,ID00155,0.069694029775837,0.04,0.423076923076923,C8,8794.0
155,ID00156,0.924190181864638,0.02,0.480769230769231,C6,13051.0
156,ID00157,0.400286194795706,0.0,0.307692307692308,C3,4076.0
157,ID00158,0.253395911566893,0.03,0.346153846153846,C8,8794.0
158,ID00159,1.0274607253084,0.18,0.490384615384615,C2,27003.0
159,ID00160,1.1556625004183,0.11,0.490384615384615,C14,7788.0
160,ID00161,1.22198358666967,0.11,0.576923076923077,C2,27003.0
161,ID00162,1.22802377887677,0.02,0.423076923076923,C12,34791.0
162,ID00163,0.032286903094548,0.07,0.548076923076923,C5,34738.0
163,ID00164,1.22424724533498,0.06,0.673076923076923,C8,8794.0
164,ID00165,0.036804149699197,0.05,0.519230769230769,C9,17804.0
165,ID00166,1.10373243729333,0.07,0.384615384615385,C14,7788.0
166,ID00167,0.534852681074449,0.05,0.480769230769231,C13,5410.0
167,ID00168,0.907761324519347,0.16,0.298076923076923,C8,8794.0
168,ID00169,0.544110963412582,0.02,0.403846153846154,C5,34738.0
169,ID00170,0.859511573066764,0.03,0.288461538461538,C5,34738.0
170,ID00171,0.233327564529278,0.03,0.451923076923077,C5,34738.0
171,ID00172,1.0167909528951,0.11,0.692307692307692,C8,8794.0
172,ID00173,0.20734493886057,0.01,0.509615384615385,C3,4076.0
173,ID00174,0.036313487470704,0.01,0.634615384615385,C4,21622.0
174,ID00175,0.079806091188122,0.0,0.355769230769231,C14,7788.0
175,ID00176,1.23513764542299,0.01,0.432692307692308,C3,4076.0
176,ID00177,0.819056779149394,0.01,0.625,C1,4990.0
177,ID00178,0.215964352901057,0.15,0.432692307692308,C8,8794.0
178,ID00179,0.653412582547114,0.01,0.653846153846154,C2,27003.0
179,ID00180,0.194699926555513,0.14,0.317307692307692,C11,6108.0
180,ID00181,0.052403378372137,0.04,0.692307692307692,C13,5410.0
181,ID00182,1.00869592279502,0.12,0.730769230769231,C2,27003.0
182,ID00183,1.14467053724556,0.06,0.326923076923077,C14,7788.0
183,ID00184,1.04421214529756,0.13,0.451923076923077,C8,8794.0
184,ID00185,1.19167861990067,0.05,0.384615384615385,C8,8794.0
185,ID00186,1.20076543028027,0.17,0.326923076923077,C8,8794.0
186,ID00187,0.722116728147436,0.16,0.365384615384615,C7,6112.0
187,ID00188,0.405686985617761,0.13,0.365384615384615,C2,27003.0
188,ID00189,0.425328533656046,0.02,0.394230769230769,C3,4076.0
189,ID00190,0.279208428394068,0.01,0.375,C7,6112.0
190,ID00191,0.698574182074204,0.01,0.423076923076923,C5,34738.0
191,ID00192,1.21527818662993,0.08,0.461538461538462,C8,8794.0
192,ID00193,1.08788956331395,0.12,0.480769230769231,C8,8794.0
193,ID00194,1.21034940887172,0.05,0.432692307692308,C19,27742.0
194,ID00195,0.20117259729808,0.16,0.442307692307692,C8,8794.0
195,ID00196,0.368467861145326,0.04,0.413461538461538,C2,27003.0
196,ID00197,1.2185655657852,0.03,0.567307692307692,C5,34738.0
197,ID00198,1.13562552139136,0.09,0.403846153846154,C11,6108.0
198,ID00199,0.568969014797501,0.05,0.365384615384615,C8,8794.0
199,ID00200,0.088313572982704,0.18,0.403846153846154,C5,34738.0
200,ID00201,0.160005801463424,0.13,0.461538461538462,C2,27003.0
201,ID00202,0.15794758723186,0.05,0.326923076923077,C17,65567.0
202,ID00203,0.19511343272436,0.17,0.576923076923077,C2,27003.0
203,ID00204,0.085196331986468,0.12,0.471153846153846,C2,27003.0
204,ID00205,1.2427815993554,0.0,0.528846153846154,C5,34738.0
205,ID00206,1.23953574644174,0.03,0.519230769230769,C2,27003.0
206,ID00207,1.17838964965791,0.03,0.336538461538461,C2,27003.0
207,ID00208,1.08978282464517,0.03,0.567307692307692,C5,34738.0
208,ID00209,1.22738835068068,0.04,0.288461538461538,C19,27742.0
209,ID00210,0.070010964855313,0.0,0.413461538461538,C2,27003.0
210,ID00211,1.00064376967876,0.14,0.365384615384615,C5,34738.0
211,ID00212,1.17255065786022,0.03,0.653846153846154,C13,5410.0
212,ID00213,0.151663113153214,0.2,0.346153846153846,C8,8794.0
213,ID00214,1.10333549289454,0.07,0.528846153846154,C14,7788.0
214,ID00215,1.22466900141961,0.29,0.403846153846154,C5,34738.0
215,ID00216,1.14763535254918,0.01,0.461538461538462,C2,27003.0
216,ID00217,1.10819550110691,0.05,0.673076923076923,C2,27003.0
217,ID00218,0.484379574678699,0.02,0.5,C2,27003.0
218,ID00219,1.02783156559277,0.08,0.567307692307692,C14,7788.0
219,ID00220,1.00434518625804,0.01,0.413461538461538,C5,34738.0
220,ID00221,0.235927121817937,0.15,0.403846153846154,C12,34791.0
221,ID00222,0.652157686857986,0.0,0.317307692307692,C13,5410.0
222,ID00223,1.10897089515812,0.02,0.673076923076923,C8,8794.0
223,ID00224,0.446645757631788,0.06,0.557692307692308,C9,17804.0
224,ID00225,1.24491324713642,0.15,0.644230769230769,C13,5410.0
225,ID00226,0.311384980486029,0.01,0.596153846153846,C8,8794.0
226,ID00227,0.970569152027209,0.07,0.567307692307692,C5,34738.0
227,ID00228,0.833927354906145,0.01,0.336538461538461,C7,6112.0
228,ID00229,0.299454383180274,0.0,0.471153846153846,C3,4076.0
229,ID00230,1.14064472886122,0.08,0.682692307692308,C7,6112.0
230,ID00231,0.663267013054971,0.08,0.576923076923077,C8,8794.0
231,ID00232,0.010041488319602,0.01,0.346153846153846,C8,8794.0
232,ID00233,1.18084492857227,0.15,0.692307692307692,C3,4076.0
233,ID00234,0.049872773983895,0.0,0.490384615384615,C5,34738.0
234,ID00235,0.72876652772055,0.14,0.326923076923077,C2,27003.0
235,ID00236,0.23334411248811,0.0,0.384615384615385,C2,27003.0
236,ID00237,0.95501899362638,0.01,0.346153846153846,C13,5410.0
237,ID00238,1.0972593539594,0.12,0.365384615384615,C11,6108.0
238,ID00239,0.086452740566509,0.09,0.442307692307692,C5,34738.0
239,ID00240,1.188953950043,0.04,0.653846153846154,C3,4076.0
240,ID00241,0.560183206168928,0.05,0.423076923076923,C12,34791.0
241,ID00242,0.361542816476993,0.02,0.461538461538462,C10,73430.0
242,ID00243,0.515312769759449,0.0,0.423076923076923,C9,
243,ID00244,1.04614743070296,0.11,0.480769230769231,C17,
244,ID00245,0.966714681772916,0.01,0.538461538461538,C10,
245,ID00246,0.365102387625031,0.03,0.355769230769231,C13,
246,ID00247,0.260175186888846,0.17,0.509615384615385,C13,
247,ID00248,0.082441437403125,0.06,0.730769230769231,C5,
248,ID00249,1.18138389092455,0.07,0.701923076923077,C8,
249,ID00250,0.50531389761323,0.04,0.625,C3,
250,ID00251,0.386863596440631,0.01,0.596153846153846,C2,
251,ID00252,1.08012579849613,0.16,0.442307692307692,C8,
252,ID00253,1.2401086498699,0.14,0.432692307692308,C3,4076.0
253,ID00254,0.091844243741487,0.01,0.461538461538462,C10,73430.0
254,ID00255,0.146303079103204,0.01,0.557692307692308,C10,73430.0
255,ID00256,1.07068150391281,0.12,0.480769230769231,C11,6108.0
256,ID00257,0.032256715749499,0.03,0.288461538461538,C2,27003.0
257,ID00258,0.046265551417014,0.0,0.509615384615385,C18,35036.0
258,ID00259,1.20884105111807,0.09,0.403846153846154,C14,7788.0
259,ID00260,1.16487202876267,0.09,0.307692307692308,C7,6112.0
260,ID00261,0.023278955771195,0.0,0.432692307692308,C3,4076.0
261,ID00262,0.621501301152062,0.07,0.346153846153846,C2,27003.0
262,ID00263,1.24338876337263,0.13,0.355769230769231,C8,8794.0
263,ID00264,0.024168103279227,0.08,0.538461538461538,C19,27742.0
264,ID00265,0.919157982182216,0.0,0.615384615384615,C20,20905.0
265,ID00266,1.05914838367841,0.01,0.298076923076923,C8,8794.0
266,ID00267,0.116034098443304,0.13,0.471153846153846,C2,27003.0
267,ID00268,0.00602659201344,0.11,0.365384615384615,C8,8794.0
268,ID00269,0.138289216113398,0.1,0.807692307692308,C13,5410.0
269,ID00270,0.145280804286866,0.15,0.538461538461538,C2,27003.0
270,ID00271,0.709748711149465,0.03,0.644230769230769,C12,34791.0
271,ID00272,0.865703762071372,0.01,0.451923076923077,C16,16206.0
272,ID00273,0.046403805422499,0.11,0.355769230769231,C12,34791.0
273,ID00274,0.597829019489639,0.09,0.346153846153846,C9,17804.0
274,ID00275,1.06308659243535,0.07,0.432692307692308,C2,27003.0
275,ID00276,0.125868524770024,0.05,0.663461538461538,C8,8794.0
276,ID00277,0.417343311898171,0.19,0.403846153846154,C13,5410.0
277,ID00278,1.03485475972377,0.01,0.596153846153846,C2,27003.0
278,ID00279,1.04268806303608,0.15,0.442307692307692,C14,7788.0
279,ID00280,1.05636983910241,0.1,0.326923076923077,C8,8794.0
280,ID00281,1.22289310218494,0.13,0.644230769230769,C8,8794.0
281,ID00282,1.061523300188,0.05,0.413461538461538,C2,27003.0
282,ID00283,0.094809266005572,0.14,0.336538461538461,C13,5410.0
283,ID00284,0.777926320281011,0.14,0.528846153846154,C8,8794.0
284,ID00285,0.454009492729532,0.07,0.605769230769231,C3,4076.0
285,ID00286,0.104329545115167,0.04,0.442307692307692,C14,7788.0
286,ID00287,1.12480758626946,0.18,0.471153846153846,C13,5410.0
287,ID00288,1.03023376196695,0.08,0.432692307692308,C8,8794.0
288,ID00289,0.270750757312145,0.16,0.596153846153846,C8,8794.0
289,ID00290,0.083004270866735,0.09,0.307692307692308,C3,4076.0
290,ID00291,0.085965228018156,0.09,0.480769230769231,C8,8794.0
291,ID00292,0.088466506018756,0.0,0.730769230769231,C3,4076.0
292,ID00293,1.02952190248367,0.01,0.384615384615385,C8,8794.0
293,ID00294,0.069301214460832,0.1,0.538461538461538,C8,8794.0
294,ID00295,1.11819510416386,0.02,0.663461538461538,C8,8794.0
295,ID00296,0.780804988950624,0.12,0.528846153846154,C2,27003.0
296,ID00297,0.467947605774314,0.0,0.692307692307692,C8,8794.0
297,ID00298,1.16819921743337,0.19,0.461538461538462,C21,3264.0
298,ID00299,1.02037118969167,0.04,0.461538461538462,C8,8794.0
299,ID00300,0.085119605002172,0.08,0.490384615384615,C13,5410.0
300,ID00301,0.072649103885074,0.1,0.336538461538461,C8,8794.0
301,ID00302,0.361514811149433,0.02,0.528846153846154,C10,73430.0
302,ID00303,0.555292616687483,0.11,0.336538461538461,C5,34738.0
303,ID00304,1.23545112948691,0.13,0.365384615384615,C2,27003.0
304,ID00305,0.511285390540415,0.17,0.384615384615385,C12,34791.0
305,ID00306,0.37948174701677,0.07,0.355769230769231,C8,8794.0
306,ID00307,0.072819065308126,0.0,0.413461538461538,C2,27003.0
307,ID00308,0.07299792680455,0.08,0.442307692307692,C2,27003.0
308,ID00309,0.093590674278538,0.13,0.307692307692308,C3,4076.0
309,ID00310,1.12484318458633,0.02,0.692307692307692,C9,17804.0
310,ID00311,0.220794339853979,0.0,0.326923076923077,C3,4076.0
311,ID00312,1.16832079295594,0.06,0.798076923076923,C19,27742.0
312,ID00313,0.483513614113174,0.09,0.567307692307692,C8,8794.0
313,ID00314,0.033566270136115,0.0,0.586538461538462,C10,73430.0
314,ID00315,1.14758609203008,0.03,0.519230769230769,C8,8794.0
315,ID00316,0.498238610757094,0.03,0.471153846153846,C3,4076.0
316,ID00317,1.20246595396532,0.09,0.432692307692308,C15,290.0
317,ID00318,0.74941909005782,0.01,0.423076923076923,C5,34738.0
318,ID00319,0.123058407942956,0.0,0.403846153846154,C2,27003.0
319,ID00320,1.02421191497464,0.02,0.634615384615385,C2,27003.0
320,ID00321,1.24853797135661,0.17,0.759615384615385,C8,8794.0
321,ID00322,0.210873580395587,0.18,0.846153846153846,C2,27003.0
322,ID00323,0.089962122695632,0.15,0.317307692307692,C6,13051.0
323,ID00324,0.322176678334892,0.02,0.432692307692308,C10,73430.0
324,ID00325,0.084524485307172,0.14,0.336538461538461,C2,27003.0
325,ID00326,0.228210656757387,0.08,0.326923076923077,C3,4076.0
326,ID00327,0.174394347194854,0.1,0.634615384615385,C8,8794.0
327,ID00328,0.336255683440448,0.1,0.355769230769231,C10,73430.0
328,ID00329,0.388433811222,0.01,0.365384615384615,C3,4076.0
329,ID00330,0.37979188478485,0.14,0.673076923076923,C14,7788.0
330,ID00331,0.091860807930085,0.05,0.365384615384615,C3,4076.0
331,ID00332,1.05775325164469,0.09,0.471153846153846,C2,27003.0
332,ID00333,1.12788862585855,0.05,0.346153846153846,C8,8794.0
333,ID00334,0.150787618493327,0.14,0.365384615384615,C8,8794.0
334,ID00335,0.951400166550959,0.11,0.528846153846154,C2,27003.0
335,ID00336,1.09040401230739,0.09,0.375,C2,27003.0
336,ID00337,0.932688209548667,0.06,0.490384615384615,C15,290.0
337,ID00338,1.06218311322753,0.02,0.596153846153846,C3,4076.0
338,ID00339,0.049812337125978,0.04,0.519230769230769,C17,65567.0
339,ID00340,0.800770035433314,0.04,0.307692307692308,C13,5410.0
340,ID00341,1.07560643729242,0.11,0.663461538461538,C8,8794.0
341,ID00342,0.089257788278683,0.15,0.355769230769231,C8,8794.0
342,ID00343,1.16284947208839,0.16,0.317307692307692,C13,5410.0
343,ID00344,0.119613718698873,0.09,0.423076923076923,C19,27742.0
344,ID00345,0.904138613378068,0.01,0.701923076923077,C21,3264.0
345,ID00346,0.955806408264141,0.01,0.432692307692308,C2,27003.0
346,ID00347,0.286969157985582,0.1,0.5,C3,4076.0
347,ID00348,0.047594776277663,0.03,0.326923076923077,C2,27003.0
348,ID00349,0.510557513263579,0.17,0.375,C14,7788.0
349,ID00350,1.17684817355402,0.03,0.711538461538462,C7,6112.0
350,ID00351,0.422986494900566,0.07,0.442307692307692,C5,34738.0
351,ID00352,0.959825768822257,0.02,0.317307692307692,C21,3264.0
352,ID00353,0.980758901469848,0.02,0.567307692307692,C12,34791.0
353,ID00354,0.896686010015998,0.02,0.480769230769231,C17,65567.0
354,ID00355,,0.14,0.298076923076923,C9,17804.0
355,ID00356,,0.01,0.288461538461538,C5,34738.0
356,ID00357,,0.14,0.384615384615385,C14,7788.0
357,ID00358,,0.06,0.596153846153846,C13,5410.0
358,ID00359,,0.04,0.509615384615385,C2,27003.0
359,ID00360,,0.12,0.307692307692308,C2,27003.0
360,ID00361,,0.02,0.394230769230769,C8,8794.0
361,ID00362,,0.0,0.586538461538462,C8,8794.0
362,ID00363,,0.14,0.423076923076923,C8,8794.0
363,ID00364,,0.03,0.567307692307692,C2,27003.0
364,ID00365,,0.0,0.451923076923077,C5,34738.0
365,ID00366,,0.38,0.778846153846154,C8,8794.0
366,ID00367,,0.08,0.5,C2,27003.0
367,ID00368,,0.03,0.490384615384615,C8,8794.0
368,ID00369,,0.0,0.480769230769231,C3,4076.0
369,ID00370,,0.04,0.326923076923077,C8,8794.0
370,ID00371,0.031687859566519,0.0,0.432692307692308,C5,34738.0
371,ID00372,0.972733564420342,0.12,0.336538461538461,C2,27003.0
372,ID00373,1.12972117117151,0.01,0.644230769230769,C3,4076.0
373,ID00374,1.20676668402067,0.1,0.701923076923077,C14,7788.0
374,ID00375,0.092826045944074,0.17,0.336538461538461,C8,8794.0
375,ID00376,0.316779610487578,0.02,0.653846153846154,C14,7788.0
376,ID00377,0.379587653543713,0.06,0.509615384615385,C1,4990.0
377,ID00378,0.340266333909763,0.06,0.586538461538462,C8,8794.0
378,ID00379,0.906400934697973,0.0,0.490384615384615,C11,6108.0
379,ID00380,0.517833196517828,0.14,0.384615384615385,C14,7788.0
380,ID00381,1.05261293721537,0.03,0.519230769230769,C9,17804.0
381,ID00382,0.070671513314971,0.0,0.625,C5,34738.0
382,ID00383,1.16172240562247,0.16,0.528846153846154,C8,8794.0
383,ID00384,1.02396834435404,0.06,0.423076923076923,C8,8794.0
384,ID00385,0.463252308674063,0.13,0.625,C2,27003.0
385,ID00386,0.401333961239754,0.07,0.586538461538462,C3,4076.0
386,ID00387,0.090669062860313,0.01,0.375,C3,4076.0
387,ID00388,0.368805003654376,0.03,0.365384615384615,C1,4990.0
388,ID00389,1.02904417657872,0.16,0.432692307692308,C3,4076.0
389,ID00390,0.040885275544163,0.01,0.307692307692308,C3,4076.0
390,ID00391,1.04577276414651,0.01,0.394230769230769,C2,27003.0
391,ID00392,0.070262412815237,0.16,0.586538461538462,C10,73430.0
392,ID00393,0.484808508158229,0.1,0.288461538461538,C3,4076.0
393,ID00394,0.233562912841436,0.04,0.711538461538462,C3,4076.0
394,ID00395,0.070911746811955,0.0,0.576923076923077,C3,4076.0
395,ID00396,0.509775707090857,0.01,0.653846153846154,C5,34738.0
396,ID00397,0.118000811450073,0.0,0.673076923076923,C3,4076.0
397,ID00398,1.06873228900406,0.12,0.288461538461538,C8,8794.0
398,ID00399,1.11982760911813,0.13,0.644230769230769,C8,8794.0
399,ID00400,1.11667685067999,0.03,0.403846153846154,C8,8794.0
400,ID00401,0.148906432192897,0.01,0.375,C5,34738.0
401,ID00402,1.0152709273916,0.11,0.451923076923077,C13,5410.0
402,ID00403,1.05184751617018,0.13,0.682692307692308,C11,6108.0
403,ID00404,1.03765989329108,0.22,0.807692307692308,C8,8794.0
404,ID00405,0.134002785076498,0.04,0.384615384615385,C8,8794.0
405,ID00406,1.21695424846217,0.08,0.673076923076923,C5,34738.0
406,ID00407,1.02932417356501,0.04,0.442307692307692,C2,27003.0
